,errors,fms,times
0,0.382465673211,0.622667825403,194.633072424
1,0.0333308322796,0.968601302881,152.006435084
2,0.324280461123,0.670498374999,87.6724342823
3,0.0263476387615,0.97008731949,261.725174093
4,0.386055142068,0.605632092336,234.357061505
5,0.450556847944,0.490777258611,161.247025943
6,0.171244464889,0.826510519501,492.761865115
7,0.138446953896,0.858788397931,266.453122687
8,0.222038912765,0.784595122996,394.225724673
9,0.266747322726,0.742506403595,172.344097137
10,0.423074669347,0.576623486921,236.373653364
11,0.211884472585,0.7861579499,71.6712728024
12,0.269048475378,0.712491356614,105.628462863
13,0.0676153459768,0.934630212907,458.937570357
14,0.181935446999,0.817633120449,64.2072714806
15,0.101921203796,0.899894565025,325.822975659
16,0.0936620451347,0.907377754185,454.056917453
17,0.227468764974,0.781421031894,462.110605192
18,0.190214835423,0.812634079911,498.081533408
19,0.275793013613,0.508762114226,213.718908978
20,0.0987062349891,0.905731508515,279.422663689
21,0.282350650948,0.721176392615,225.564834881
22,0.495713268819,0.474812328065,221.54131546
23,0.0147047796211,0.985292243166,596.274469137
24,0.24013999889,0.752676424337,393.412355304
25,0.471355977226,0.524395041212,169.017891192
26,0.321125490239,0.673480589364,150.379119301
27,0.180500995131,0.821804246938,111.3104599
28,0.298512225246,0.713150228355,99.736969924
29,0.171270837821,0.819575709191,208.285461712
